timestamp,index,memory_used_mib,utilization_gpu_percent,power_draw_w
2026/07/30 09:49:28.749, 6, 1, 0, 123.73
2026/07/30 09:49:28.750, 7, 1, 0, 124.76
2026/07/30 09:49:30.904, 6, 1, 0, 123.68
2026/07/30 09:49:30.906, 7, 1, 0, 124.80
2026/07/30 09:49:33.064, 6, 4, 0, 123.76
2026/07/30 09:49:33.066, 7, 4, 0, 124.87
2026/07/30 09:49:35.214, 6, 4, 0, 123.79
2026/07/30 09:49:35.215, 7, 4, 0, 124.74
2026/07/30 09:49:37.398, 6, 4, 0, 123.74
2026/07/30 09:49:37.402, 7, 4, 0, 124.85
2026/07/30 09:49:39.601, 6, 4, 0, 123.76
2026/07/30 09:49:39.603, 7, 4, 0, 124.80
2026/07/30 09:49:41.774, 6, 4, 0, 123.67
2026/07/30 09:49:41.776, 7, 4, 0, 124.78
2026/07/30 09:49:44.136, 6, 23, 0, 123.76
2026/07/30 09:49:44.138, 7, 24, 0, 124.83
2026/07/30 09:49:46.288, 6, 984, 0, 119.44
2026/07/30 09:49:46.290, 7, 1274, 0, 120.43
2026/07/30 09:49:48.465, 6, 2960, 0, 119.88
2026/07/30 09:49:48.467, 7, 1460, 0, 120.68
2026/07/30 09:49:50.636, 6, 17324, 6, 142.43
2026/07/30 09:49:50.638, 7, 17324, 100, 147.03
2026/07/30 09:49:52.774, 6, 17324, 7, 142.67
2026/07/30 09:49:52.776, 7, 17324, 100, 144.34
2026/07/30 09:49:54.978, 6, 17324, 1, 140.11
2026/07/30 09:49:54.980, 7, 17324, 100, 142.43
2026/07/30 09:49:57.149, 6, 17324, 7, 139.11
2026/07/30 09:49:57.151, 7, 17324, 100, 142.81
2026/07/30 09:49:59.318, 6, 17324, 7, 140.15
2026/07/30 09:49:59.320, 7, 17324, 100, 142.70
2026/07/30 09:50:01.498, 6, 17324, 7, 144.10
2026/07/30 09:50:01.500, 7, 17324, 100, 146.07
2026/07/30 09:50:03.708, 6, 15666, 0, 122.62
2026/07/30 09:50:03.712, 7, 15666, 0, 124.75
2026/07/30 09:50:05.899, 6, 15862, 8, 120.63
2026/07/30 09:50:05.901, 7, 15862, 8, 121.62
2026/07/30 09:50:08.098, 6, 15862, 5, 120.61
2026/07/30 09:50:08.100, 7, 15862, 5, 121.53
2026/07/30 09:50:10.275, 6, 15862, 8, 120.62
2026/07/30 09:50:10.277, 7, 15862, 8, 121.60
2026/07/30 09:50:12.420, 6, 15862, 8, 120.52
